Time(s)	X	Y	Z
369,31	-1,517	1,392	-1,367
369,81	-1,457	1,431	-1,289
370,33	-1,427	1,442	-1,283
370,84	-1,443	1,417	-1,280
371,34	-1,451	1,409	-1,282
371,85	-1,473	1,400	-1,310
372,37	-1,427	1,429	-1,297
372,87	-1,420	1,437	-1,311
373,39	-1,420	1,437	-1,314
373,89	-1,421	1,434	-1,308
374,41	-1,425	1,435	-1,317
374,92	-1,425	1,435	-1,325
375,42	-1,441	1,438	-1,333
375,93	-1,446	1,436	-1,321
376,43	-1,473	1,428	-1,314
376,94	-1,494	1,413	-1,316
377,44	-1,476	1,430	-1,298
377,95	-1,470	1,432	-1,289
378,46	-1,462	1,434	-1,290
378,96	-1,451	1,435	-1,301
379,46	-1,437	1,438	-1,308
379,96	-1,431	1,438	-1,317
380,47	-1,423	1,440	-1,327
380,97	-1,419	1,442	-1,324
381,48	-1,450	1,430	-1,320
381,99	-1,466	1,415	-1,340
382,51	-1,488	1,389	-1,372
383,01	-1,508	1,363	-1,414
383,52	-1,441	1,309	-1,334
384,02	-1,400	1,302	-1,225
384,52	-1,395	1,343	-1,281
385,02	-1,397	1,397	-1,329
385,53	-1,390	1,427	-1,345
386,04	-1,399	1,419	-1,344
386,54	-1,390	1,454	-1,361
387,04	-1,379	1,435	-1,336
387,55	-1,348	1,428	-1,294
388,05	-1,253	1,434	-1,300
388,56	-1,258	1,421	-1,305
389,08	-1,232	1,424	-1,313
389,58	-1,312	1,417	-1,265
390,09	-1,420	1,396	-1,372
390,59	-1,406	1,389	-1,385
391,10	-1,401	1,388	-1,377
391,62	-1,603	1,297	-1,282
392,12	-1,690	1,241	-1,181
392,62	-1,468	1,344	-1,163
393,13	-1,271	1,378	-1,217
393,63	-1,212	1,371	-1,243
394,15	-1,163	1,356	-1,232
394,66	-1,162	1,392	-1,164
395,17	-1,201	1,393	-1,157
