Time(s)	X	Y	Z
310,15	-0,745	1,856	-1,270
310,65	-0,741	1,856	-1,278
311,15	-0,749	1,853	-1,282
311,67	-0,777	1,817	-1,280
312,17	-0,782	1,813	-1,285
312,67	-0,779	1,809	-1,295
313,18	-0,785	1,834	-1,273
313,68	-0,773	1,844	-1,256
314,18	-0,770	1,849	-1,271
314,70	-0,768	1,850	-1,276
315,20	-0,766	1,849	-1,281
315,71	-0,766	1,848	-1,283
316,22	-0,768	1,848	-1,286
316,72	-0,770	1,847	-1,287
317,24	-0,769	1,847	-1,288
317,75	-0,765	1,848	-1,291
318,25	-0,765	1,848	-1,294
318,77	-0,762	1,842	-1,266
319,27	-0,692	1,832	-1,202
319,78	-0,656	1,835	-1,160
320,29	-0,711	1,855	-1,238
320,81	-0,821	1,825	-1,267
321,31	-0,823	1,810	-1,248
321,82	-0,788	1,829	-1,242
322,33	-0,789	1,834	-1,248
322,84	-0,791	1,830	-1,246
323,36	-0,801	1,818	-1,259
323,86	-0,792	1,821	-1,258
324,36	-0,773	1,827	-1,265
324,89	-0,752	1,837	-1,277
325,40	-0,742	1,846	-1,276
325,91	-0,759	1,839	-1,273
326,42	-0,763	1,841	-1,270
326,93	-0,776	1,843	-1,263
327,44	-0,785	1,844	-1,255
327,94	-0,785	1,846	-1,256
328,44	-0,791	1,849	-1,258
328,94	-0,785	1,849	-1,260
329,45	-0,785	1,848	-1,266
329,97	-0,776	1,846	-1,274
330,47	-0,772	1,847	-1,278
330,97	-0,773	1,846	-1,279
331,47	-0,779	1,846	-1,278
331,97	-0,782	1,847	-1,271
332,49	-0,782	1,843	-1,260
332,99	-0,783	1,842	-1,255
333,49	-0,786	1,842	-1,256
334,00	-0,783	1,844	-1,262
334,52	-0,781	1,844	-1,269
335,03	-0,778	1,844	-1,268
335,54	-0,777	1,844	-1,267
336,06	-0,779	1,844	-1,266
336,56	-0,779	1,860	-1,268
337,07	-0,776	1,855	-1,273
337,59	-0,748	1,860	-1,256
